Time (s),A-output,B-output
0.000000,0.335118,-0.074901
0.005000,0.321069,-0.085794
0.010000,0.250510,-0.087147
0.015000,0.127384,-0.088236
0.020000,-0.012925,-0.080775
0.025000,-0.093597,-0.051902
0.030000,-0.065693,-0.046989
0.035000,0.064841,-0.050802
0.040000,0.214916,-0.012790
0.045000,0.330288,-0.089896
0.050000,0.454321,-0.190844
0.055000,0.456899,-0.107186
0.060000,0.162389,-0.058538
0.065000,-0.127945,-0.082112
0.070000,-0.165790,-0.131618
0.075000,-0.115385,-0.202216
0.080000,-0.007421,-0.123507
0.085000,0.192114,-0.010905
0.090000,0.365897,-0.010134
0.095000,0.395931,-0.075093
0.100000,0.298285,-0.140151
0.105000,0.167834,-0.081850
0.110000,0.022611,0.038391
0.115000,-0.102952,0.109120
0.120000,-0.154813,0.046448
0.125000,-0.097853,-0.084986
0.130000,0.048436,-0.065734
0.135000,0.205443,0.062492
0.140000,0.330125,0.195806
0.145000,0.333071,0.167777
0.150000,0.230602,0.022160
0.155000,0.101261,-0.091087
0.160000,-0.060054,-0.106648
0.165000,-0.197842,0.029337
0.170000,-0.206031,0.091195
0.175000,-0.099492,0.060376
0.180000,0.036738,0.019414
0.185000,0.154173,-0.016763
0.190000,0.224173,0.031968
0.195000,0.174889,0.051284
0.200000,0.035864,0.039264
0.205000,-0.121196,0.073305
0.210000,-0.272788,0.080886
0.215000,-0.297099,0.081918
0.220000,-0.237317,0.077961
0.225000,-0.180189,0.069877
0.230000,-0.112618,0.082156
0.235000,-0.028677,0.083425
0.240000,0.015861,0.083994
0.245000,-0.094782,0.065008
0.250000,-0.244989,0.032419
0.255000,-0.318268,0.023824
0.260000,-0.371693,0.042603
0.265000,-0.404122,0.054803
0.270000,-0.333456,0.044001
0.275000,-0.184868,0.043134
0.280000,-0.107692,0.078682
0.285000,-0.085895,0.064451
0.290000,-0.024689,-0.012959
0.295000,-0.070999,-0.057869
0.300000,-0.273139,-0.080007
0.305000,-0.460046,0.026380
0.310000,-0.579680,0.216664
0.315000,-0.417724,0.225011
0.320000,-0.009753,0.167213
0.325000,0.210962,0.185971
0.330000,0.206413,0.173429
0.335000,0.184511,0.144489
0.340000,0.067100,0.078768
0.345000,-0.132113,0.053664
0.350000,-0.322494,0.102298
0.355000,-0.442762,0.022960
0.360000,-0.263224,-0.033690
0.365000,-0.038132,-0.038102
0.370000,0.135292,-0.058774
0.375000,0.309526,0.045371
0.380000,0.352329,0.037204
0.385000,0.276985,-0.036612
0.390000,0.060249,-0.007406
0.395000,-0.133370,-0.025123
0.400000,-0.234424,-0.022050
0.405000,-0.217114,-0.030128
0.410000,-0.078136,-0.050647
0.415000,0.061544,-0.030052
0.420000,0.226538,-0.024325
0.425000,0.358545,0.011166
0.430000,0.348044,0.022655
0.435000,0.202057,-0.018660
0.440000,0.024804,-0.063593
0.445000,-0.081909,-0.106948
0.450000,-0.136757,-0.120015
0.455000,-0.137360,-0.082671
0.460000,-0.018446,-0.064299
0.465000,0.171483,-0.091069
0.470000,0.316971,-0.112876
0.475000,0.359275,-0.106691
0.480000,0.308838,-0.092531
0.485000,0.202596,-0.098769
0.490000,0.051270,-0.091053
0.495000,-0.074306,-0.060498
0.500000,-0.099188,-0.046209
0.505000,-0.003777,-0.041241
0.510000,0.144262,-0.030929
0.515000,0.262955,-0.038785
0.520000,0.310448,-0.130894
0.525000,0.296654,-0.154911
0.530000,0.104766,-0.116774
0.535000,-0.194261,-0.125445
0.540000,-0.277718,-0.073137
0.545000,-0.199184,-0.042734
0.550000,-0.155820,-0.060539
0.555000,-0.049767,-0.071483
0.560000,0.163314,-0.129529
0.565000,0.352980,-0.093278
0.570000,0.385788,0.014510
0.575000,0.259868,0.027646
0.580000,0.083776,-0.024686
0.585000,-0.106753,-0.155813
0.590000,-0.180866,-0.185910
0.595000,-0.165135,-0.044239
0.600000,-0.060949,0.121024
0.605000,0.120017,0.109762
0.610000,0.282025,-0.030343
0.615000,0.360582,-0.123915
0.620000,0.247463,-0.107335
0.625000,0.108893,0.026662
