Time (s),A-output,B-output
0.000000,-0.169015,0.078831
0.005000,-0.169217,0.078865
0.010000,-0.183486,0.045402
0.015000,-0.191853,0.019590
0.020000,-0.191025,0.036372
0.025000,-0.210048,0.051689
0.030000,-0.199447,0.049251
0.035000,-0.197815,0.005515
0.040000,-0.193304,-0.022653
0.045000,-0.163510,0.002502
0.050000,-0.138041,0.021509
0.055000,-0.090857,0.117585
0.060000,-0.038578,0.242816
0.065000,0.030860,0.231015
0.070000,0.113807,0.153676
0.075000,0.089845,0.146270
0.080000,0.021322,0.115221
0.085000,0.036636,0.070044
0.090000,0.030420,0.081906
0.095000,0.012445,0.077597
0.100000,0.037425,0.086602
0.105000,-0.015628,0.099960
0.110000,-0.063350,0.079768
0.115000,-0.009364,0.041721
0.120000,0.005534,-0.023293
0.125000,-0.048539,-0.032819
0.130000,-0.124555,0.029512
0.135000,-0.155785,0.071240
0.140000,-0.114834,0.093667
0.145000,-0.072954,0.030385
0.150000,-0.052594,-0.010211
0.155000,-0.100794,0.032496
0.160000,-0.147632,-0.002851
0.165000,-0.138527,-0.027163
0.170000,-0.118176,-0.016787
0.175000,-0.073821,-0.016998
0.180000,-0.075128,0.023044
0.185000,-0.065785,0.032564
0.190000,-0.002947,0.014907
0.195000,0.043251,-0.040636
0.200000,0.060710,-0.096064
0.205000,0.036319,-0.069016
0.210000,0.046652,-0.048496
0.215000,0.058853,-0.048578
0.220000,0.066953,-0.052490
0.225000,0.131426,-0.080113
0.230000,0.151581,-0.083010
0.235000,0.167736,-0.066040
0.240000,0.199405,-0.074747
0.245000,0.194210,-0.075437
0.250000,0.186361,-0.062953
0.255000,0.185436,-0.070508
0.260000,0.203153,-0.066114
0.265000,0.196174,-0.052445
0.270000,0.181713,-0.078440
0.275000,0.177742,-0.095905
0.280000,0.157560,-0.032227
0.285000,0.154042,0.020378
0.290000,0.155911,-0.000733
0.295000,0.138129,-0.029007
0.300000,0.099700,-0.035043
0.305000,0.071850,-0.095241
0.310000,0.030635,-0.080840
0.315000,-0.062911,0.054095
0.320000,-0.132463,0.074879
0.325000,-0.085622,0.040790
0.330000,-0.034305,0.004437
0.335000,-0.033650,-0.067063
0.340000,-0.008398,-0.063473
0.345000,-0.026023,-0.035453
0.350000,-0.035202,-0.030858
0.355000,0.044625,0.014363
