Time (s),A-output,B-output
0.000000,0.017912,-0.014414
0.005000,0.015749,-0.016991
0.010000,0.011929,-0.019493
0.015000,0.010904,-0.016308
0.020000,0.011386,-0.016769
0.025000,0.010206,-0.024029
0.030000,0.012806,-0.022397
0.035000,0.016425,-0.015029
0.040000,0.013527,-0.012229
0.045000,0.008393,-0.008124
0.050000,0.008467,-0.006435
0.055000,0.009682,-0.003215
0.060000,0.009001,0.003312
0.065000,0.007719,-0.000146
0.070000,0.005502,-0.006632
0.075000,0.005900,-0.005761
0.080000,0.004663,-0.001226
0.085000,0.000677,-0.001460
0.090000,0.000886,-0.008320
0.095000,0.001958,-0.012004
0.100000,0.001535,-0.011174
0.105000,0.000056,-0.009639
0.110000,-0.003464,-0.012760
0.115000,-0.004718,-0.012369
0.120000,-0.004211,-0.006090
0.125000,-0.004547,-0.005119
0.130000,-0.005672,-0.007027
0.135000,-0.005921,-0.006358
0.140000,-0.006275,-0.005688
0.145000,-0.007058,-0.008912
0.150000,-0.008048,-0.012104
0.155000,-0.009718,-0.010455
0.160000,-0.009087,-0.010094
0.165000,-0.006848,-0.009822
0.170000,-0.007193,-0.010465
0.175000,-0.009032,-0.012447
0.180000,-0.009408,-0.011722
0.185000,-0.007834,-0.009165
0.190000,-0.005900,-0.005134
0.195000,-0.007601,-0.003607
0.200000,-0.009082,-0.001747
0.205000,-0.006933,-0.003010
0.210000,-0.003236,-0.005981
0.215000,-0.001423,-0.007151
0.220000,-0.002224,-0.005271
0.225000,-0.003090,-0.004392
0.230000,-0.001417,-0.005942
0.235000,0.002069,-0.008236
0.240000,0.003016,-0.012945
0.245000,0.003384,-0.010454
0.250000,0.005350,0.000008
0.255000,0.006671,-0.008827
0.260000,0.006673,-0.015649
0.265000,0.006952,-0.005882
0.270000,0.008388,0.002801
0.275000,0.009145,0.007747
0.280000,0.010574,0.004160
0.285000,0.009163,0.007382
0.290000,0.007348,0.012982
0.295000,0.010303,0.016132
0.300000,0.011456,0.018804
0.305000,0.011261,0.022151
0.310000,0.011781,0.026732
0.315000,0.012079,0.029871
0.320000,0.015295,0.026292
0.325000,0.015467,0.022245
0.330000,0.013243,0.023701
0.335000,0.012459,0.017165
0.340000,0.010638,0.002120
0.345000,0.007143,-0.014124
0.350000,0.001402,-0.019793
0.355000,-0.005652,-0.023518
0.360000,-0.006929,-0.024550
0.365000,-0.004527,-0.017103
0.370000,-0.003516,-0.017289
0.375000,-0.002209,-0.015392
0.380000,0.001507,-0.011553
0.385000,0.006799,-0.010798
0.390000,0.006544,-0.013141
0.395000,0.005078,-0.011510
0.400000,0.008359,-0.005213
0.405000,0.012903,-0.000371
0.410000,0.015461,0.002486
0.415000,0.015507,-0.002690
0.420000,0.012766,0.001292
0.425000,0.010296,0.000865
0.430000,0.008558,-0.013572
0.435000,0.006753,-0.012684
0.440000,0.007166,-0.002256
0.445000,0.010293,0.000711
0.450000,0.017095,0.001208
0.455000,0.024552,0.007624
0.460000,0.025541,0.008860
0.465000,0.026772,0.006248
0.470000,0.029770,0.011207
0.475000,0.028283,0.013857
0.480000,0.025476,0.014431
0.485000,0.023867,0.017527
0.490000,0.022498,0.022956
0.495000,0.020736,0.024592
0.500000,0.018727,0.013797
0.505000,0.016042,0.014060
0.510000,0.013575,0.023762
0.515000,0.012828,0.015449
0.520000,0.014856,0.012916
0.525000,0.013384,0.017679
0.530000,0.009962,0.014162
0.535000,0.011814,0.001001
0.540000,0.013614,-0.012453
0.545000,0.009710,-0.002106
0.550000,0.003883,0.005970
0.555000,0.002322,-0.007266
0.560000,0.003625,-0.005649
0.565000,-0.000562,0.000667
0.570000,-0.006375,-0.000111
0.575000,-0.004694,0.008775
0.580000,-0.003394,0.016130
0.585000,-0.005489,0.015671
0.590000,-0.006975,0.000383
0.595000,-0.007840,-0.002193
0.600000,-0.009880,0.013667
0.605000,-0.011359,0.000328
0.610000,-0.009878,-0.016758
0.615000,-0.011374,-0.002258
0.620000,-0.017517,0.007605
0.625000,-0.019856,0.007956
0.630000,-0.017933,0.006364
0.635000,-0.020410,0.011960
0.640000,-0.024393,0.023959
0.645000,-0.019523,0.020613
0.650000,-0.013690,0.018191
0.655000,-0.013780,0.021614
0.660000,-0.011675,0.011028
0.665000,-0.009670,0.001213
0.670000,-0.010679,0.013493
0.675000,-0.015511,0.017051
0.680000,-0.018525,0.019808
0.685000,-0.011714,0.027217
0.690000,-0.010527,0.028381
0.695000,-0.015069,0.024992
0.700000,-0.015004,0.022041
0.705000,-0.012217,0.019374
0.710000,-0.010777,0.014405
0.715000,-0.008727,-0.002293
0.720000,-0.002906,-0.006817
0.725000,0.000808,0.008337
0.730000,0.001887,0.016826
0.735000,0.006141,0.020593
0.740000,0.010723,0.025374
0.745000,0.007718,0.031741
0.750000,0.004847,0.029557
0.755000,0.009017,0.035905
0.760000,0.013890,0.029138
0.765000,0.013217,0.014338
0.770000,0.010732,0.009981
0.775000,0.012558,0.011964
