Time (s),A-output,B-output
0.000000,-0.075347,0.051032
0.005000,-0.020276,0.031500
0.010000,0.003317,0.073878
0.015000,0.040515,0.098617
0.020000,0.048796,0.076773
0.025000,-0.037821,0.054695
0.030000,-0.135551,0.032289
0.035000,-0.162457,0.020388
0.040000,-0.157821,0.030459
0.045000,-0.151085,0.054838
0.050000,-0.096658,0.077234
0.055000,-0.018100,0.083794
0.060000,0.016841,0.078059
0.065000,-0.002310,0.086274
0.070000,-0.025190,0.074380
0.075000,-0.046979,0.057858
0.080000,-0.099003,0.039321
0.085000,-0.134752,0.009313
0.090000,-0.096617,-0.013348
0.095000,-0.053088,-0.047450
0.100000,-0.024569,-0.089190
0.105000,0.014048,-0.094404
0.110000,-0.030990,-0.068244
0.115000,-0.109321,-0.040124
0.120000,-0.157015,0.018926
0.125000,-0.051985,0.018657
0.130000,0.121516,-0.007222
0.135000,0.145254,0.034564
0.140000,0.114958,0.074801
0.145000,0.059108,0.069939
0.150000,-0.023429,0.056528
0.155000,-0.114551,0.088549
0.160000,-0.208914,0.121975
0.165000,-0.199670,0.090903
0.170000,-0.086377,0.034754
0.175000,-0.022021,-0.027340
0.180000,0.037407,-0.070172
0.185000,0.090714,-0.067843
0.190000,0.071256,-0.098233
0.195000,0.031593,-0.144728
0.200000,-0.067938,-0.129216
0.205000,-0.194740,-0.077298
0.210000,-0.216482,-0.021755
0.215000,-0.163890,0.020096
0.220000,-0.114756,0.018618
0.225000,-0.032996,0.019117
0.230000,0.038031,0.020386
0.235000,0.067717,-0.032837
0.240000,0.065933,-0.080385
0.245000,-0.027929,-0.109029
0.250000,-0.135800,-0.141497
0.255000,-0.158485,-0.156582
0.260000,-0.152795,-0.141741
0.265000,-0.138248,-0.100851
0.270000,-0.060014,-0.061859
0.275000,0.059091,-0.026444
0.280000,0.127062,-0.006447
0.285000,0.123184,-0.022700
0.290000,0.097630,-0.024899
0.295000,0.059730,-0.043438
0.300000,0.000651,-0.067712
0.305000,-0.052683,-0.053699
0.310000,-0.053811,-0.068042
0.315000,0.010978,-0.101168
0.320000,0.092465,-0.110287
0.325000,0.152918,-0.099777
0.330000,0.197242,-0.087108
0.335000,0.220037,-0.082826
0.340000,0.194229,-0.084801
0.345000,0.129262,-0.088576
0.350000,0.073899,-0.074081
0.355000,0.057304,-0.054353
0.360000,0.073338,-0.040315
0.365000,0.117214,-0.016383
0.370000,0.181101,-0.003915
0.375000,0.240507,0.001283
0.380000,0.262752,0.001389
0.385000,0.220753,-0.008837
0.390000,0.153838,-0.071653
0.395000,0.114805,-0.094864
0.400000,0.041931,-0.013816
0.405000,-0.085395,-0.001101
0.410000,-0.126270,-0.037429
0.415000,-0.019553,-0.059383
0.420000,0.075955,-0.066342
